Date-time,Text, Unix Timestamp
6:37 AM - 20 Dec 2013,#Inter - #Milan: ecco il servizio di #ATM in occasione del derby di domenica sera a San Siro http://bit.ly/JJT5ac . #SerieA #Milano,1387550243

6:13 AM - 20 Dec 2013,#bus63 #busNM1: dalle 16 fino a domani (18 circa) non effettuano la fermata in via degli Ulivi http://bit.ly/19XzauJ . #ATM #Milano,1387548839

5:59 AM - 20 Dec 2013,#tram24 #bus57 #bus62 #bus77 #bus93: rallentamenti (traffico in diverse zone della città). #ATM #Milano,1387547944

5:51 AM - 20 Dec 2013,#bus54 #bus61 #bus92: riprendono il percorso regolare dopo deviazione. #ATM #Milano,1387547493

5:30 AM - 20 Dec 2013,#bus54 > Lambrate #bus61 > Murani: deviano da largo Augusto a piazza Tricolore (urto tra mezzi privati). #ATM #Milano,1387546242

5:28 AM - 20 Dec 2013,#bus87: riprende il percorso regolare in entrambe le direzioni  con rallentamenti. #ATM #Milano,1387546129

5:26 AM - 20 Dec 2013,#bus92: devia in viale Umbria/Tertulliano e riprende regolare in piazza Caiazzo (inconveniente tecnico). #ATM #Milano,1387545989

5:22 AM - 20 Dec 2013,#bus87 > Centrale: riprende il percorso regolare dopo deviazione per urto tra privati. #ATM #Milano,1387545764

5:03 AM - 20 Dec 2013,#tram2: riprende il percorso regolare con rallentamenti dopo deviazione. #ATM #Milano,1387544624

4:49 AM - 20 Dec 2013,#bus87: devia da via De Marchi a Lunigiana/Brianza (urto tra mezzi privati). #ATM #Milano,1387543783

4:46 AM - 20 Dec 2013,#tram2: termina in piazza di Porta Genova (autobus privato in panne). Bus sostitutivi tra Porta Genova e il capolinea Negrelli. #ATM #Milano,1387543572

4:44 AM - 20 Dec 2013,@CapiFrancesco ciao  ti informiamo che sono segnalati rallentamenti per traffico sulla linea.,1387543476

4:39 AM - 20 Dec 2013,#tram3: devia da piazza XXIV Maggio a piazza Abbiategrasso (soccorso a un passeggero). #ATM #Milano,1387543142

4:04 AM - 20 Dec 2013,#tram4: rallentamenti (inconveniente tecnico). #ATM #Milano,1387541065

4:00 AM - 20 Dec 2013,#tram2 #tram12 #tram14 #tram16 #tram27: rallentamenti (inconveniente tecnico). #ATM #Milano,1387540817

3:53 AM - 20 Dec 2013,Dal 21/12 al 6/1: ecco il servizio #ATM previsto per le festività natalizie http://bit.ly/1cFbdJs . #Milano,1387540395

3:33 AM - 20 Dec 2013,#tram2 > Negrelli: termina in piazzale porta Genova (autobus privato in panne). Bus di collegamento tra p.ta Genova e Negrelli. #ATM #Milano,1387539195

2:46 AM - 20 Dec 2013,#tram12 #tram27: riprendono il percorso regolare con rallentamenti dopo deviazione (inconveniente tecnico risolto). #ATM #Milano,1387536385

2:05 AM - 20 Dec 2013,#bus728: riprende il percorso regolare con rallentamenti dopo deviazione per urto tra mezzi privati. #ATM #Milano,1387533945

1:39 AM - 20 Dec 2013,#tram12 #tram27: deviano da piazza V Giornate a via Broletto/Grossi (inconveniente tecnico). In alternativa  #bus54 #bus60 #bus73. #ATM,1387532398

1:36 AM - 20 Dec 2013,@sebacottini la linea è interessata da rallentamenti per un inconveniente tecnico a una vettura.,1387532185

1:35 AM - 20 Dec 2013,#tram12 #tram15 #tram23 #tram27: rallentamenti (inconveniente tecnico). #ATM #Milano,1387532125

1:09 AM - 20 Dec 2013,@DiDioLaura in Info Traffico trovi le info sulle modifiche programmate per le linee ATM: http://bit.ly/infotraffico . Continua a seguirci.,1387530588

12:32 AM - 20 Dec 2013,#bus728 > Cusano Milanino: devia da viale Sarca/Chiese a viale Testi/Clerici (urto tra mezzi privati). #ATM #Milano,1387528362

12:02 AM - 20 Dec 2013,#bus50 #bus94: rallentamenti (traffico). #ATM #Milano,1387526523

11:52 PM - 19 Dec 2013,@chiarazini ciao  gli oggetti smarriti vengono consegnati all'Ufficio che li conserva e a cui puoi rivolgerti: http://bit.ly/14oirkA .,1387525974

11:41 PM - 19 Dec 2013,#bus95 #bus121 #bus702 #bus727 #bus728 #bus729 #bus924 #bus925: rallentamenti (traffico). #ATM #Milano,1387525280

11:40 PM - 19 Dec 2013,#bus43 #bus58 #bus61 #bus67 #bus68 #bus69 #bus81 #bus86 #bus87 #bus91: rallentamenti (traffico). #ATM #Milano,1387525232

11:38 PM - 19 Dec 2013,@spirandex sono possibili rallentamenti per traffico in quella zona. La circolazione sul resto della linea è normale.,1387525136

11:24 PM - 19 Dec 2013,#tram15: rallentamenti (soccorso a persona colta da malore). #ATM #Milano,1387524247

11:21 PM - 19 Dec 2013,@robylum ciao  la circolazione sulla linea è normale. Buona giornata.,1387524113

10:59 PM - 19 Dec 2013,@maurosays si è verificato un inconveniente tecnico ad una vettura. Sulla linea non sono segnalati rallentamenti significativi.,1387522789

10:48 PM - 19 Dec 2013,@FoolWhiteRabbit non ci sono rallentamenti significativi. Solo una vettura viaggiava in fuori servizio per un inconveniente tecnico.,1387522114

10:00 PM - 19 Dec 2013,#tram1: rallentamenti. #ATM #Milano,1387519239

9:59 PM - 19 Dec 2013,Buon venerdì da #ATM. Twittiamo informazioni in tempo reale anche oggi per tenervi aggiornati sullo stato della circolazione a #Milano.,1387519189

10:39 AM - 19 Dec 2013,@jacoposki le linee di superficie risentono del traffico intenso in diverse zone della città e subiscono rallentamenti.,1387478383

7:30 AM - 19 Dec 2013,#tram9: modifica il percorso dalle 21.30 a fine servizio (lavori stradali in piazza V Giornate) http://bit.ly/19c0gE3 . #ATM #Milano,1387467038

7:04 AM - 19 Dec 2013,@paganin94 ciao  sabato le linee di metropolitana circoleranno regolarmente. Seguici per gli aggiornamenti sul servizio natalizio di ATM.,1387465480

6:44 AM - 19 Dec 2013,Dal 27/12: #tram2 #tram4 #tram7 modificano il percorso per 15 giorni circa (lavori di M5 in via Farini/Ferrari) http://bit.ly/1kXWI85 . #ATM,1387464278

6:13 AM - 19 Dec 2013,#M2: la circolazione riprende normale in entrambe le direzioni dopo rallentamenti. #ATM #Milano,1387462432

5:35 AM - 19 Dec 2013,#bus43 #bus50 #bus54 #bus57 #bus61 #bus68 #bus92 #bus94 #bus95: rallentamenti (traffico in diverse zone della città). #ATM #Milano,1387460122

5:34 AM - 19 Dec 2013,#tram1 #tram5 #tram12 #tram16 #tram27: rallentamenti (traffico in diverse zone della città). #ATM #Milano,1387460047

5:09 AM - 19 Dec 2013,@Bonfanti_Fe al momento sulla linea ci sono rallentamenti a seguito di un intervento  nella stazione di Lambrate  delle forze dell'ordine.,1387458548

4:52 AM - 19 Dec 2013,#tram27: rallentamenti (traffico intenso in centro città). #ATM #Milano,1387457569

4:49 AM - 19 Dec 2013,#tram1: riprende il percorso regolare con rallentamenti dopo deviazione. #ATM #Milano,1387457362

4:46 AM - 19 Dec 2013,@catiacavedonik sì  ti confermiamo che sulla linea sono segnalati ancora rallentamenti per l'intervento delle forze dell'ordine a Lambrate.,1387457192

4:42 AM - 19 Dec 2013,@dariodellanoce @ComuneMI ciao  la linea è rallentata a seguito di un intervento delle forze dell'ordine a Lambrate. Seguici per altre info.,1387456974

4:42 AM - 19 Dec 2013,#tram1: non effettua il percorso tra piazza della Repubblica e piazza Cordusio. Bus sostitutivi nella tratta non percorsa. #ATM #Milano,1387456961

4:13 AM - 19 Dec 2013,#bus60 #bus73 #busX73: riprendono il percorso regolare con rallentamenti dopo deviazione (auto in sosta irregolare rimossa). #ATM #Milano,1387455220

4:08 AM - 19 Dec 2013,#tram5: devia da via Lazzaretto/Tunisia a piazza Ascoli (auto in sosta irregolare). Bus sostitutivi tra piazza della Repubblica e Ortica.,1387454928

4:00 AM - 19 Dec 2013,#bus54: rallentamenti (traffico). #ATM #Milano,1387454451

3:58 AM - 19 Dec 2013,@AriSnape le forze dell'ordine sono intervenute nella stazione di Lambrate per un passeggero che ostacolava il servizio normale sulla linea.,1387454297

3:24 AM - 19 Dec 2013,@pikkolina94 non sono previste agitazioni nei prossimi giorni. In  occasione di uno sciopero twittiamo informazioni  continua a seguirci.,1387452296

3:18 AM - 19 Dec 2013,@pikkolina94 sì  i mezzi #ATM saranno in servizio il 28 dicembre. Seguici  a breve pubblicheremo informazioni sugli orari delle linee.,1387451895

3:06 AM - 19 Dec 2013,@andre_prince @Dulafive ci sono rallentamenti. Sono intervenute le forze dell'ordine a Lambrate per un passeggero che ostacolava il servizio,1387451188

3:00 AM - 19 Dec 2013,#bus60 #bus73 #busX73: terminano in largo Augusto (auto in sosta irregolare). #ATM #Milano,1387450850

2:57 AM - 19 Dec 2013,@max210203 i treni al momento circolano con rallentamenti in seguito all'intervento delle forze dell'ordine nella stazione di Lambrate.,1387450651

2:54 AM - 19 Dec 2013,#M2: rallentamenti (intervento delle forze dell'ordine nella stazione di Lambrate). #ATM #Milano,1387450478

2:48 AM - 19 Dec 2013,#tram9: riprende il percorso regolare con rallentamenti dopo deviazione. #ATM #Milano,1387450139

2:47 AM - 19 Dec 2013,@CateMartini la circolazione è rallentata per l'intervento delle forze dell'ordine nella stazione di Lambrate.,1387450057

2:42 AM - 19 Dec 2013,#M2: rallentamenti sull'intera linea. #ATM #Milano,1387449768

2:32 AM - 19 Dec 2013,#tram9 > Centrale FS: devia da Porta Lodovica a piazza V Giornate (soccorso a un passeggero). Bus di collegamento nella tratta non percorsa.,1387449147

1:51 AM - 19 Dec 2013,#tram1 #tram19: riprendono il percorso regolare con rallentamenti dopo deviazione per urto tra mezzi privati. #ATM #Milano,1387446703

1:18 AM - 19 Dec 2013,#tram1: devia da Sempione/Procaccini a via Cusani (urto tra mezzi privati). Bus di collegamento tra Sempione/Procaccini e largo Cairoli.,1387444703

